Condition_Number,Subject_ID,Privacy,Algorithm,x_pos,Scenario,Model
5,S5,0,FedAvg,1,Cross-Subject,Local
5,S6,0,FedAvg,1,Cross-Subject,Local
5,S7,0,FedAvg,1,Cross-Subject,Local
5,S8,0,FedAvg,1,Cross-Subject,Local
5,S9,0,FedAvg,1,Cross-Subject,Local
5,S10,0,FedAvg,1,Cross-Subject,Local
5,S11,0,FedAvg,1,Cross-Subject,Local
5,S12,0,FedAvg,1,Cross-Subject,Local
5,S13,0,FedAvg,1,Cross-Subject,Local
4,S0G,0,Per-FedAvg,2,Cross-Subject,Global
4,S1G,0,Per-FedAvg,2,Cross-Subject,Global
4,S2G,0,Per-FedAvg,2,Cross-Subject,Global
4,S3G,0,Per-FedAvg,2,Cross-Subject,Global
4,S4G,0,Per-FedAvg,2,Cross-Subject,Global
4,S5G,0,Per-FedAvg,2,Cross-Subject,Global
4,S6G,0,Per-FedAvg,2,Cross-Subject,Global
4,S7G,0,Per-FedAvg,2,Cross-Subject,Global
4,S8G,0,Per-FedAvg,2,Cross-Subject,Global
4,S9G,0,Per-FedAvg,2,Cross-Subject,Global
4,S10G,0,Per-FedAvg,2,Cross-Subject,Global
4,S11G,0,Per-FedAvg,2,Cross-Subject,Global
4,S12G,0,Per-FedAvg,2,Cross-Subject,Global
4,S13G,0,Per-FedAvg,2,Cross-Subject,Global
5,S0G,0,FedAvg,1,Cross-Subject,Global
5,S1G,0,FedAvg,1,Cross-Subject,Global
5,S2G,0,FedAvg,1,Cross-Subject,Global
5,S3G,0,FedAvg,1,Cross-Subject,Global
5,S4G,0,FedAvg,1,Cross-Subject,Global
5,S5G,0,FedAvg,1,Cross-Subject,Global
5,S6G,0,FedAvg,1,Cross-Subject,Global
5,S7G,0,FedAvg,1,Cross-Subject,Global
5,S8G,0,FedAvg,1,Cross-Subject,Global
5,S9G,0,FedAvg,1,Cross-Subject,Global
5,S10G,0,FedAvg,1,Cross-Subject,Global
5,S11G,0,FedAvg,1,Cross-Subject,Global
5,S12G,0,FedAvg,1,Cross-Subject,Global
5,S13G,0,FedAvg,1,Cross-Subject,Global
